Date,NAV per Share,Ex-Dividends,,,
28-Sep-12,92.11,0,,,
01-Oct-12,91.77,0.49,,,
02-Oct-12,91.9,0,,,
03-Oct-12,91.87,0,,,
04-Oct-12,92.01,0,,,
05-Oct-12,92.18,0,,,
08-Oct-12,92.23,0,,,
09-Oct-12,92.21,0,,,
10-Oct-12,92.05,0,,,
11-Oct-12,92.24,0,,,
12-Oct-12,92.28,0,,,
15-Oct-12,92.43,0,,,
16-Oct-12,92.59,0,,,
17-Oct-12,92.86,0,,,
18-Oct-12,92.95,0,,,
19-Oct-12,92.89,0,,,
22-Oct-12,92.97,0,,,
23-Oct-12,92.63,0,,,
24-Oct-12,92.61,0,,,
25-Oct-12,92.72,0,,,
26-Oct-12,92.51,0,,,
31-Oct-12,92.47,0,,,
01-Nov-12,91.98,0.51,,,
02-Nov-12,92.07,0,,,
05-Nov-12,92.13,0,,,
06-Nov-12,92.3,0,,,
07-Nov-12,92.1,0,,,
08-Nov-12,92.01,0,,,
09-Nov-12,91.76,0,,,
